date,pe1,sd1,pe3,sd3,pe5,sd5,log_ret,shift_ret,proj,ds1,ds3,ds5,shp1,shp3,shp5,symbol,hsi1,hsi3,hsi5,HSC,trade
2019-02-26,145.73020286316648,1.2255843341921742,146.4979283419656,1.1111984689161811,147.34219611028703,1.5290056200941082,-0.0022639512526305694,0.00421602018270395,0.005610615518641752,2,3,3,22332,13323,23333,V,0.5637119736624522,0.5,0.8725639912477124,0.531855986831226,1
2019-02-27,146.34590132624643,0.708677590188302,147.54353488787785,1.2557103368111262,147.7614466471502,1.2213572596999858,0.00421602018270395,0.007296917187064267,-0.004019643043219736,2,3,3,23322,23333,23333,V,0.39931722385561913,0.8434144076091599,0.8725639912477124,0.8579891994284361,1
2019-02-28,147.41768083648392,0.7606362791477913,148.2116254540074,1.16662185863957,147.9917705426478,0.9910655199104755,0.007296917187064267,0.009783517060807156,0.01072035457347463,3,3,3,33223,33233,23333,V,0.5022476620146394,0.7255491132467957,0.8725639912477124,0.7990565522472541,1
2019-03-01,148.8670225009032,0.657109608722413,148.34788369100684,1.0653854745538107,147.8178021755281,1.147211780996013,0.009783517060807156,-0.0034779279599739255,0.015878904235599865,3,3,3,32233,33233,23333,V,0.31484912344456256,0.7255491132467957,0.8725639912477124,0.7990565522472541,1
2019-03-04,148.35017302463504,1.5941178662104967,147.89138312528394,1.0057748321055722,147.1959262837628,1.3560680352236112,-0.0034779279599739255,-0.0035365249818832822,0.026355046525185957,2,2,2,22332,33332,32332,V,0.5637119736624522,0.368186434518062,0.7660306558251031,0.4659492040902571,1
2019-03-05,147.82645554748225,0.6833503884435995,147.29060511736736,0.8098495485800479,147.32550180792583,1.4909415863662314,-0.0035365249818832822,-0.002227620553091114,0.03486648391387831,2,1,2,23322,32331,33332,V,0.39931722385561913,0.8505678474118975,0.0,0.19965861192780957,0
2019-03-06,147.49752080373452,0.45590547478834514,146.6010009488989,1.1579098182437442,148.00638423743618,2.2339319679220253,-0.002227620553091114,-0.006459446294658555,0.046657891508084956,2,1,2,33222,32331,33332,V,0.6156883984003434,0.8505678474118975,0.0,0.7331281229061204,1
2019-03-07,146.54783900088538,0.7446165421774759,147.1011775628041,1.8704578841316668,148.958869824033,2.8079396441201983,-0.006459446294658555,-0.005406657981226637,0.05743769791348437,1,2,2,32221,33322,33332,V,0.7303879440595398,0.19880927691988598,0.0,0.09940463845994299,0
2019-03-08,145.75764304207667,1.4594621636338603,148.66218712752033,2.6598968528478553,150.24543088023074,2.9080471558131067,-0.005406657981226637,0.02198795969097933,0.061326579565862634,2,2,2,22212,23312,33332,V,0.9902605219968001,0.7259768247099726,0.0,0.8581186733533863,1
2019-03-11,148.99805064545035,1.5909855013882033,150.82962235906766,1.796771203189809,151.96979109723677,2.180324040502844,0.02198795969097933,0.014874371388112984,0.029949377912926504,3,3,3,22123,23313,23323,V,0.34354295263587864,0.7461363407638821,0.8775396113482835,0.8118379760560828,1
2019-03-12,151.23086769503394,1.0412441129140433,152.15715357120894,1.208050294034084,153.16322286960514,1.7356219380364393,0.014874371388112984,0.006781654863935671,0.020410992234885884,3,3,3,21233,33223,33323,V,0.7152947573354624,0.9055712202317384,0.8536755612334082,0.8796233907325732,1
2019-03-13,152.25994873671868,0.8981530278611383,153.2066790485665,1.4649999977417858,153.8563414776842,1.476768355218225,0.006781654863935671,0.004722156232537245,0.009400466319526079,3,3,3,12333,33123,33323,V,0.7420588266940447,0.9048592433409057,0.8536755612334082,0.8792674022871569,1
2019-03-14,152.9806442818742,1.1823421481180931,154.10843263875768,1.4347005205369465,154.09644164484448,1.274145703422445,0.004722156232537245,0.009102089407754477,-0.004490148090008642,2,3,3,23332,33133,33323,V,0.33750089124853333,0.6551812301801129,0.8536755612334082,0.7544283957067606,1
2019-03-15,154.37944412710667,1.6024530947817033,154.68037145660932,1.104233545449313,154.36384074071614,1.2425499471141395,0.009102089407754477,0.0037871420980604142,-0.0014852488973335816,2,3,3,33322,32233,33323,V,0.47625801401615464,0.08711033871796578,0.8536755612334082,0.6649667876247813,1
2019-03-18,154.96520950729217,0.8994392998906852,154.3740399384139,1.0754713629190276,154.226204566621,1.2334184852336212,0.0037871420980604142,-0.001735757861975884,-0.004503713950553308,2,3,3,33222,31233,33233,V,0.6156883984003434,0.7468407303619968,0.9033781993433925,0.6812645643811701,1
2019-03-19,154.69646073542918,0.92993058446241,154.15818335639395,1.2522360063599924,153.69191037199127,1.3939198362060519,-0.001735757861975884,-0.008022002752018587,-0.00377300657335991,2,2,2,32222,31332,33232,V,0.682313238473382,0.6551812301801129,0.7655929967278355,0.6687472343267474,1
2019-03-20,153.4604495725203,0.9218465877522826,153.8231175301279,1.3095797251535133,153.58264867049465,1.332547776557503,-0.008022002752018587,0.005570197715570657,0.012127913990029134,1,2,2,22221,22332,33232,V,1.0,0.3909561729940436,0.7655929967278355,0.8827964983639178,1
2019-03-21,154.31763976123233,1.722142448824204,153.434213850669,1.5587246976317406,153.7440168622673,1.3845185895134704,0.005570197715570657,-0.0040672679390674205,0.016084602753064402,2,2,2,22212,12332,33232,V,0.9902605219968001,0.746675473692113,0.7655929967278355,0.7561342352099742,1
2019-03-22,153.69126325663098,1.3957553570022858,153.37838467290683,1.3338255733932314,153.70304690446065,1.2146317880884274,-0.0040672679390674205,-0.0091346597511901,0.02228504521185268,2,2,2,22122,13322,33232,V,0.5454889236758454,0.310316613027609,0.7655929967278355,0.6555409602018405,1
2019-03-25,152.29373853414364,1.063849595336932,153.57039376449112,1.3480684978568762,154.02911519429588,1.2913697301405267,-0.0091346597511901,0.012115995517790523,0.03760735574415317,1,2,2,21221,23322,32332,V,0.5641028350125546,0.4587307392731111,0.7660306558251031,0.5114167871428329,1
2019-03-26,154.1501522279459,0.9747424744217917,154.17674424384288,0.8609574225405916,154.9303230263836,1.2875789674089335,0.012115995517790523,0.0007596088471668594,0.020945505180916996,3,2,2,12213,23322,32322,V,0.5641028350125545,0.4587307392731111,0.6895742004508637,0.5114167871428328,1
2019-03-27,154.26729053138376,1.1457086072132912,154.56722840312992,0.9467583395698784,155.52354858218874,1.438994556250446,0.0007596088471668594,-0.0010020139553734708,0.020358384478213035,2,3,3,22132,33223,32323,V,0.7194816091666214,0.9055712202317384,0.9211535399052153,0.9133623800684769,1
2019-03-28,154.1127899721989,0.6616715066198807,155.41139079086273,1.2699602875614886,156.2743111432728,1.5142252214600282,-0.0010020139553734708,0.00781309966626953,0.018081710041945073,2,3,3,21322,33223,32323,V,0.46845417980968473,0.9055712202317384,0.9211535399052153,0.9133623800684769,1
2019-03-29,155.32160470580703,0.6181289566718552,156.41255413578702,0.9692716133107575,156.92753415684814,1.0966983227341605,0.00781309966626953,0.009471853730149249,0.00862321149301214,3,3,3,13223,33223,32323,V,0.18969376783204311,0.9055712202317384,0.9211535399052153,0.9133623800684769,1
2019-04-01,156.79977769458225,0.5141132805371244,157.31238701278608,0.7295386580332759,157.34479788457352,0.7209952413789461,0.009471853730149249,0.0020164780480058653,0.006008655608730335,3,3,3,32233,32233,23323,V,0.31484912344456256,0.08711033871796578,0.8775396113482835,0.20097973108126416,0
2019-04-02,157.11628000697175,0.5926784026857139,157.50542946128382,0.7701315789357416,157.36472489650333,0.7320456085322643,0.0020164780480058653,0.005742421331547121,0.0053610001090697605,2,3,3,22332,32233,23223,V,0.5637119736624522,0.08711033871796578,0.8108767292712207,0.6872943514668364,0
2019-04-03,158.02110333680423,0.5143709204572209,157.60264390710452,0.7283370594267637,157.2736640456328,0.8049927181744301,0.005742421331547121,-0.004072283875478533,0.0029655006093130985,3,3,3,23323,32233,23233,V,0.4815055937395695,0.08711033871796578,0.8950637891268335,0.28430796622876764,0
2019-04-04,157.3789050400755,0.9904767619278771,157.22874704624692,0.7472543377872608,157.21783008992688,0.7631209133517453,-0.004072283875478533,0.00018436797110865655,0.013535792965794066,2,2,3,33232,22332,23233,V,0.5641028350125545,0.3909561729940436,0.8950637891268335,0.4775295040032991,0
2019-04-05,157.40792334443387,0.5904870093072782,156.9894372837615,0.6958973540564901,157.33376516215694,0.8099876780188413,0.00018436797110865655,-0.003235756697217873,0.016486190880209455,2,2,2,32322,22332,23232,V,0.47965441962721456,0.3909561729940436,0.6930495889971671,0.4353052963106291,0
2019-04-08,156.89941275423138,0.7072650486584242,157.10077402170836,0.7782738388185396,157.55012349627694,0.9730685089736807,-0.003235756697217873,-0.0015208365361782938,0.021014037000764763,2,2,2,23222,22332,33232,V,0.5473080749911268,0.3909561729940436,0.7655929967278355,0.4691321239925852,0
2019-04-09,156.66097575261924,0.7338983181680363,157.4538299040398,0.9029845540138307,158.0720716086069,1.1652902851401459,-0.0015208365361782938,0.006876285383568437,0.020178674192171887,2,2,2,32222,23322,32232,V,0.682313238473382,0.4587307392731111,0.22018350399493966,0.5705219888732466,0
2019-04-10,157.74193355827447,0.5674805028186922,158.06340965817802,0.7894939369407188,158.7404725410326,1.1195706185042846,0.006876285383568437,0.0013724835239727895,0.00996964637206675,3,3,3,22223,23323,32333,V,0.6659725401405538,0.21406536608839566,0.8584437957265056,0.7622081679335297,1
2019-04-11,157.95858040122576,0.9168227061478108,158.65248291071364,0.9897174524773058,159.23138639322707,1.0977451460950909,0.0013724835239727895,0.003356852416380285,0.01688351691193476,2,3,3,22232,23323,32333,V,0.2638850039361797,0.21406536608839566,0.8584437957265056,0.23897518501228768,0
2019-04-12,158.48971501503385,0.8532729538937686,159.3339495818876,0.9374633757694509,159.60410762117374,0.8958190524637006,0.003356852416380285,0.006411606421814042,0.015837082718634016,2,3,3,22322,33223,32323,V,0.23120232519116868,0.9055712202317384,0.9211535399052153,0.9133623800684769,1
2019-04-15,159.50915331588132,0.6059477737518562,159.90287884995865,0.6104138942535892,159.76907758894632,0.7099970728981247,0.006411606421814042,0.003091134513827143,0.002734788182738854,3,3,3,23223,33233,32323,V,0.28400355194930754,0.7255491132467957,0.9211535399052153,0.8233513265760055,1
2019-04-16,160.00298041474758,0.7342453369598173,160.0072232583179,0.6747407582663904,159.99234227873305,0.8139036161863095,0.003091134513827143,0.0012087616513802857,0.008877761039768442,2,3,3,32232,33233,22323,V,0.43054633770056017,0.7255491132467957,0.8113346963598074,0.7684419048033015,1
2019-04-17,160.19650281924706,0.3534444642828325,159.7777514047009,0.760918512500538,160.1916921441395,0.8971044097977846,0.0012087616513802857,-0.0023393411787333562,0.01907979582370029,2,2,3,22322,32232,23333,V,0.23120232519116868,1.0,0.8725639912477124,0.9362819956238562,1
2019-04-18,159.82218654095908,0.9549127402149659,159.92074271989023,0.9707320795509491,160.14146699297171,1.0345743941232324,-0.0023393411787333562,-0.0031812200440404226,0.027813655917204066,2,2,2,23222,32332,23332,V,0.5473080749911268,0.15385889139394482,0.2637435348842564,0.2088012131391006,0
2019-04-22,159.3145648538965,0.7508099581110553,160.31325712016377,1.0205711178714263,160.461719412884,1.1850715562279979,-0.0031812200440404226,0.008194780749583686,0.027631035470809206,2,2,2,32222,32332,23232,V,0.682313238473382,0.15385889139394482,0.6930495889971671,0.6876814137352745,0
2019-04-23,160.62547676481506,0.9025051560854276,160.52352785666767,1.0006971614042321,161.24941031904652,1.4493637242172936,0.008194780749583686,0.002327262529869145,0.0035869170328762245,3,2,3,22223,22322,23233,V,0.6659725401405538,0.5567185199949517,0.8950637891268335,0.6113455300677528,0
2019-04-24,160.99972974177967,0.5938793326769005,160.78951848190283,1.2018265212315002,161.97780013515242,1.8277173986782491,0.002327262529869145,-0.006570322768416403,0.003614445113549303,2,2,3,22232,23322,23233,V,0.2638850039361797,0.4587307392731111,0.8950637891268335,0.3613078716046454,0
2019-04-25,159.94537706340827,1.320105756070339,161.54061502954593,1.7473795486330979,162.5211724360747,1.9599014611818557,-0.006570322768416403,0.009198664470114082,-0.0005457593386185179,2,2,3,22322,23322,33333,V,0.23120232519116868,0.4587307392731111,0.7723826405125359,0.3449665322321399,0
