symbol,equity,test_year,price,lowT,highT,trades,in_days,t-val,p-val,exp_ret,volatility,years,sharpe,beat_pct
ALG,ALAMO GROUP INC,2016,75.40424334,0.2875,0.7,17,140,1.000371592,0.318224702,40.62109423,0.165433886,0.989041096,2.271069753,31.70731206
ALG,ALAMO GROUP INC,2017,112.3970727,0.5,0.83125,26,144,1.45329365,0.147643141,49.30056373,0.137245684,0.98630137,3.387013172,37.44198294
ALG,ALAMO GROUP INC,2018,76.52674199,0.50625,0.73125,31,109,1.078690521,0.281934634,-6.003828981,0.127276611,0.994520548,-0.749305612,-9.849536603
ALG,ALAMO GROUP INC,2019,119.3225,0.15625,0.79375,10,90,1.905968421,0.058357303,42.61202653,0.122266957,0.789041096,4.130701085,32.6513811
AIN,ALBANY INTL CORP,2002,15.43752535,0.28125,0.78125,16,134,2.226263302,0.027001542,25.36665515,0.219710952,0.994520548,1.001607618,35.28342495
AIN,ALBANY INTL CORP,2003,25.66962485,0.24375,0.65,19,180,-0.361654584,0.718148106,46.28472677,0.168877685,0.994520548,2.548574664,35.18601682
AIN,ALBANY INTL CORP,2004,26.70229974,0.25,0.675,21,120,2.718333272,0.007104328,14.17371886,0.112983664,0.997260274,0.948159877,10.66433769
AIN,ALBANY INTL CORP,2005,28.08321079,0.20625,0.74375,11,167,-1.585513153,0.114769047,-0.871622837,0.130793682,0.989041096,-0.334976479,-6.462739264
AIN,ALBANY INTL CORP,2006,25.688123,0.29375,0.8,13,117,2.100714418,0.036748841,3.656057918,0.121604799,0.98630137,0.017008909,-0.820057741
AIN,ALBANY INTL CORP,2007,29.426521,0.2875,0.775,10,121,-1.345715479,0.179664502,1.590997423,0.144946257,0.991780822,-0.130794514,4.495230144
AIN,ALBANY INTL CORP,2008,10.11161234,0.2125,0.6875,18,130,2.6948082,0.007544455,-2.079091766,0.305135776,0.997260274,-0.183026836,11.61961649
AIN,ALBANY INTL CORP,2009,19.12744705,0.25625,0.78125,12,67,3.144131186,0.002083397,98.86625371,0.284213077,0.994520548,3.374615002,77.90828394
AIN,ALBANY INTL CORP,2010,20.59283069,0.29375,0.7875,22,114,3.027670337,0.002778784,70.81418645,0.194757149,0.989041096,3.496602385,51.35184207
AIN,ALBANY INTL CORP,2011,20.50319377,0.2625,0.775,17,114,0.285525276,0.775506655,13.49384368,0.252785015,0.989041096,0.40126429,19.63572569
AIN,ALBANY INTL CORP,2012,20.22660815,0.19375,0.8125,7,37,-0.875625997,0.384223991,-3.818492554,0.08452304,0.994520548,-0.868346794,1.52504364
AIN,ALBANY INTL CORP,2013,32.85745913,0.25,0.8375,12,129,-0.360492884,0.718797812,21.65583781,0.118321617,0.994520548,1.544532112,10.70547682
AIN,ALBANY INTL CORP,2014,35.73811954,0.26875,0.7625,13,110,1.604650291,0.110047268,13.315428,0.107139481,0.994520548,0.922982936,5.203539771
AIN,ALBANY INTL CORP,2015,35.17537268,0.31875,0.55,24,184,2.802053206,0.005884972,23.9238825,0.211372235,0.994520548,0.972487921,12.06953022
AIN,ALBANY INTL CORP,2016,45.09154905,0.25,0.71875,16,110,-0.548978132,0.583582625,22.60067043,0.143310865,0.989041096,1.350287943,15.17274335
AIN,ALBANY INTL CORP,2017,60.59827193,0.4,0.675,17,60,1.627075828,0.106513585,24.01589781,0.086879051,0.98630137,2.39982501,18.78713297
AIN,ALBANY INTL CORP,2018,61.54039191,0.5125,0.61875,47,114,1.380608662,0.168897214,22.49694907,0.124350441,0.994520548,1.537662354,17.94821411
AIN,ALBANY INTL CORP,2019,89.6725,0.4,0.8,10,67,1.019013844,0.310068883,29.95982637,0.130254499,0.789041096,2.646351497,23.40378348
AQN,ALGONQUIN POWER & UTIL CORP,2013,5.2258,0.35625,0.7625,17,103,-0.780062692,0.436304147,2.096708084,0.142528511,0.994520548,-0.097646414,-3.030323865
